"homestatecode","salestatecode","month","year","txn_count","salestatename","homestatename"
"05","01","3","2024","10","JAMMU AND KASHMIR","UTTARAKHAND"
"06","01","3","2024","38","JAMMU AND KASHMIR","HARYANA"
"07","01","3","2024","3","JAMMU AND KASHMIR","DELHI"
"08","01","3","2024","2","JAMMU AND KASHMIR","RAJASTHAN"
"09","01","3","2024","1231","JAMMU AND KASHMIR","UTTAR PRADESH"
"10","01","3","2024","1005","JAMMU AND KASHMIR","BIHAR"
"19","01","3","2024","4","JAMMU AND KASHMIR","WEST BENGAL"
"20","01","3","2024","20","JAMMU AND KASHMIR","JHARKHAND"
"22","01","3","2024","389","JAMMU AND KASHMIR","CHHATTISGARH"
"23","01","3","2024","1107","JAMMU AND KASHMIR","MADHYA PRADESH"
"24","01","3","2024","1","JAMMU AND KASHMIR","GUJARAT"
"27","01","3","2024","1","JAMMU AND KASHMIR","MAHARASHTRA"
"01","02","3","2024","2","HIMACHAL PRADESH","JAMMU AND KASHMIR"
"05","02","3","2024","32","HIMACHAL PRADESH","UTTARAKHAND"
"06","02","3","2024","93","HIMACHAL PRADESH","HARYANA"
"07","02","3","2024","24","HIMACHAL PRADESH","DELHI"
"08","02","3","2024","3","HIMACHAL PRADESH","RAJASTHAN"
"09","02","3","2024","7278","HIMACHAL PRADESH","UTTAR PRADESH"
"10","02","3","2024","2399","HIMACHAL PRADESH","BIHAR"
"19","02","3","2024","15","HIMACHAL PRADESH","WEST BENGAL"
"20","02","3","2024","50","HIMACHAL PRADESH","JHARKHAND"
"21","02","3","2024","1","HIMACHAL PRADESH","ODISHA"
"22","02","3","2024","11","HIMACHAL PRADESH","CHHATTISGARH"
"23","02","3","2024","200","HIMACHAL PRADESH","MADHYA PRADESH"
"27","02","3","2024","3","HIMACHAL PRADESH","MAHARASHTRA"
"01","03","3","2024","1","PUNJAB","JAMMU AND KASHMIR"
"05","03","3","2024","1","PUNJAB","UTTARAKHAND"
"06","03","3","2024","2","PUNJAB","HARYANA"
"09","03","3","2024","25","PUNJAB","UTTAR PRADESH"
"10","03","3","2024","100","PUNJAB","BIHAR"
"23","03","3","2024","5","PUNJAB","MADHYA PRADESH"
"32","03","3","2024","1","PUNJAB","KERALA"
"05","04","3","2024","5","CHANDIGARH","UTTARAKHAND"
"09","04","3","2024","16","CHANDIGARH","UTTAR PRADESH"
"10","04","3","2024","15","CHANDIGARH","BIHAR"
"23","04","3","2024","1","CHANDIGARH","MADHYA PRADESH"
"01","05","3","2024","4","UTTARAKHAND","JAMMU AND KASHMIR"
"06","05","3","2024","68","UTTARAKHAND","HARYANA"
"07","05","3","2024","149","UTTARAKHAND","DELHI"
"08","05","3","2024","5","UTTARAKHAND","RAJASTHAN"
"09","05","3","2024","9138","UTTARAKHAND","UTTAR PRADESH"
"10","05","3","2024","1933","UTTARAKHAND","BIHAR"
"19","05","3","2024","5","UTTARAKHAND","WEST BENGAL"
"20","05","3","2024","2","UTTARAKHAND","JHARKHAND"
"22","05","3","2024","15","UTTARAKHAND","CHHATTISGARH"
"23","05","3","2024","52","UTTARAKHAND","MADHYA PRADESH"
"24","05","3","2024","3","UTTARAKHAND","GUJARAT"
"27","05","3","2024","4","UTTARAKHAND","MAHARASHTRA"
"01","06","3","2024","14","HARYANA","JAMMU AND KASHMIR"
"02","06","3","2024","5","HARYANA","HIMACHAL PRADESH"
"05","06","3","2024","296","HARYANA","UTTARAKHAND"
"07","06","3","2024","624","HARYANA","DELHI"
"08","06","3","2024","885","HARYANA","RAJASTHAN"
"09","06","3","2024","28945","HARYANA","UTTAR PRADESH"
"10","06","3","2024","24227","HARYANA","BIHAR"
"18","06","3","2024","3","HARYANA","ASSAM"
"19","06","3","2024","153","HARYANA","WEST BENGAL"
"20","06","3","2024","249","HARYANA","JHARKHAND"
"21","06","3","2024","8","HARYANA","ODISHA"
"22","06","3","2024","138","HARYANA","CHHATTISGARH"
"23","06","3","2024","3839","HARYANA","MADHYA PRADESH"
"24","06","3","2024","21","HARYANA","GUJARAT"
"27","06","3","2024","18","HARYANA","MAHARASHTRA"
"28","06","3","2024","1","HARYANA","ANDHRA PRADESH"
"29","06","3","2024","1","HARYANA","KARNATAKA"
"32","06","3","2024","1","HARYANA","KERALA"
"36","06","3","2024","1","HARYANA","TELANGANA"
"01","07","3","2024","233","DELHI","JAMMU AND KASHMIR"
"02","07","3","2024","113","DELHI","HIMACHAL PRADESH"
"05","07","3","2024","5826","DELHI","UTTARAKHAND"
"06","07","3","2024","9221","DELHI","HARYANA"
"08","07","3","2024","2504","DELHI","RAJASTHAN"
"09","07","3","2024","169401","DELHI","UTTAR PRADESH"
"10","07","3","2024","178586","DELHI","BIHAR"
"13","07","3","2024","11","DELHI","NAGALAND"
"16","07","3","2024","6","DELHI","TRIPURA"
"18","07","3","2024","114","DELHI","ASSAM"
"19","07","3","2024","1841","DELHI","WEST BENGAL"
"20","07","3","2024","2775","DELHI","JHARKHAND"
"21","07","3","2024","248","DELHI","ODISHA"
"22","07","3","2024","393","DELHI","CHHATTISGARH"
"23","07","3","2024","17147","DELHI","MADHYA PRADESH"
"24","07","3","2024","176","DELHI","GUJARAT"
"27","07","3","2024","173","DELHI","MAHARASHTRA"
"28","07","3","2024","12","DELHI","ANDHRA PRADESH"
"29","07","3","2024","13","DELHI","KARNATAKA"
